,movie,year,imdb
0,Casino,1995,8.2
1,Braveheart,1995,8.3
2,Titanic,1997,7.8
3,The Last Emperor,1987,7.7
4,Blue Velvet,1986,7.8
5,E.T. the Extra-Terrestrial,1982,7.8
6,Blade Runner,1982,8.1
7,Full Metal Jacket,1987,8.3
8,The Usual Suspects,1995,8.5
9,WALL·E,2008,8.4
10,Toy Story 3,2010,8.3
11,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
12,Aliens,1986,8.3
13,Sicko,2007,7.9
14,Casablanca,1942,8.5
15,Lawrence of Arabia,1962,8.3
16,"Il buono, il brutto, il cattivo",1966,8.8
17,Dark City,1998,7.6
18,Paranormal Activity,2007,6.3
19,Zodiac,2007,7.7
20,21 Jump Street,2012,7.2
21,Rogue One,2016,7.8
22,Hacksaw Ridge,2016,8.1
23,Heat,1995,8.2
24,One Flew Over the Cuckoo's Nest,1975,8.7
25,Up,2009,8.2
26,Apocalypse Now,1979,8.4
27,The Man Who Would Be King,1975,7.8
28,Rosemary's Baby,1968,8
29,American History X,1998,8.5
30,Coraline,2009,7.7
31,Spider-Man 2,2004,7.3
32,Fight Club,1999,8.8
33,The Conjuring,2013,7.5
34,The Grand Budapest Hotel,2014,8.1
35,Inglourious Basterds,2009,8.3
36,Rise of Empires: Ottoman,2020,8
37,Dracula,2020,6.8
38,Black Panther,2018,7.3
39,Kingsman: The Secret Service,2014,7.7
40,Thor: Ragnarok,2017,7.9
41,Guardians of the Galaxy,2014,8
42,Batman Begins,2005,8.2
43,The Dark Knight Rises,2012,8.4
44,Joker,2019,8.5
45,Interstellar,2014,8.6
46,It's a Mad Mad Mad Mad World,1963,7.5
47,Mulan,1998,7.6
48,Idi i smotri,1985,8.3
49,L.A. Confidential,1997,8.2
50,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
51,The Great Dictator,1940,8.4
52,Whiplash,2014,8.5
53,Avengers: Infinity War,2018,8.5
54,Cidade de Deus,2002,8.6
55,The Notebook,2004,7.8
56,The Perks of Being a Wallflower,2012,8
57,Alien,1979,8.4
58,The Matrix,1999,8.7
59,30 Days of Night,2007,6.6
60,Schindler's List,1993,8.9
61,The Evil Dead,1981,7.5
62,The Wicker Man,1973,7.5
63,The Omen,1976,7.5
64,Interview with the Vampire: The Vampire Chronicles,1994,7.6
65,The Others,2001,7.6
66,Halloween,1978,7.8
67,Evil Dead II,1987,7.8
68,Shaun of the Dead,2004,7.9
69,The Exorcist,1973,8
70,Blade Runner 2049,2017,8
71,The Godfather: Part III,1990,7.6
72,Saw,2004,7.6
73,Misery,1990,7.8
74,Bonnie and Clyde,1967,7.8
75,The Green Mile,1999,8.6
